Alpha Gain,Alpha Loss,Beta,Gamma,propA,propC
0.0,0.0,0.5,1.0,0.49470000000000014,0.49529999999999996
0.0,0.025,0.5,1.0,0.49779999999999996,0.4922000000000004
0.0,0.05,0.5,1.0,0.4901999999999999,0.49979999999999997
0.0,0.075,0.5,1.0,0.48729999999999996,0.5027
0.0,0.1,0.5,1.0,0.4998999999999998,0.4900999999999998
0.0,0.125,0.5,1.0,0.4988999999999998,0.49109999999999976
0.0,0.15,0.5,1.0,0.49579999999999996,0.4942
0.0,0.175,0.5,1.0,0.4964000000000002,0.49360000000000015
0.0,0.2,0.5,1.0,0.4942000000000001,0.4957999999999998
0.0,0.225,0.5,1.0,0.4957999999999999,0.49419999999999975
0.0,0.25,0.5,1.0,0.5002,0.48979999999999974
0.0,0.275,0.5,1.0,0.48140000000000027,0.5085999999999999
0.0,0.3,0.5,1.0,0.49390000000000006,0.4961
0.0,0.325,0.5,1.0,0.4858000000000001,0.5042
0.0,0.35,0.5,1.0,0.48280000000000023,0.5072000000000001
0.0,0.375,0.5,1.0,0.5012000000000001,0.4888000000000001
0.0,0.4,0.5,1.0,0.48649999999999993,0.5034999999999998
0.0,0.425,0.5,1.0,0.49450000000000016,0.49550000000000016
0.0,0.45,0.5,1.0,0.49639999999999995,0.4935999999999999
0.0,0.475,0.5,1.0,0.47979999999999995,0.5101999999999999
0.025,0.0,0.5,1.0,0.7678,0.22219999999999995
0.025,0.025,0.5,1.0,0.45929999999999976,0.5307000000000002
0.025,0.05,0.5,1.0,0.44580000000000025,0.5441999999999999
0.025,0.075,0.5,1.0,0.4466999999999998,0.5433000000000003
0.025,0.1,0.5,1.0,0.4582,0.5317999999999998
0.025,0.125,0.5,1.0,0.4650999999999999,0.5248999999999996
0.025,0.15,0.5,1.0,0.4708999999999999,0.5191000000000002
0.025,0.175,0.5,1.0,0.45350000000000007,0.5365000000000001
0.025,0.2,0.5,1.0,0.45099999999999985,0.5390000000000001
0.025,0.225,0.5,1.0,0.461,0.529
0.025,0.25,0.5,1.0,0.47619999999999985,0.5138
0.025,0.275,0.5,1.0,0.46390000000000015,0.5261000000000002
0.025,0.3,0.5,1.0,0.47370000000000007,0.5163
0.025,0.325,0.5,1.0,0.4855000000000001,0.5044999999999997
0.025,0.35,0.5,1.0,0.4713999999999999,0.5186
0.025,0.375,0.5,1.0,0.48100000000000004,0.5089999999999999
0.025,0.4,0.5,1.0,0.4668999999999999,0.5231000000000001
0.025,0.425,0.5,1.0,0.4783,0.5117
0.025,0.45,0.5,1.0,0.4870999999999999,0.5029
0.025,0.475,0.5,1.0,0.45880000000000015,0.5312
0.05,0.0,0.5,1.0,0.7675999999999997,0.22240000000000001
0.05,0.025,0.5,1.0,0.4856999999999998,0.5043
